,Index,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
555,555,0,0.492126944,0.514337113,0.52877563,0.595879157,0.595879157,0.998923909,0.797320843,0.809228206,0.303498906,0.781479729,8150000000.0,0.0,0.462984491,0.000267027,0.0,0.162319329,0.162319329,0.162319329,0.205256689,0.321744359,0.024305398,0.091034932,0.164720946,0.021977529,0.847873204,0.688877898,0.688877898,0.217533923,5930000000.0,0.000420107,0.263329215,0.38119854,0.004863011,0.003097992,0.629097547,0.01518708,0.185113523,0.814886477,0.004958576,0.384452104,0.005365848,0.091186673,0.163961994,0.40798984,0.098950525,0.000596512,0.010600426,7530000000.0,9150000000.0,0.036774194,0.007737614,0.390979399,0.010396736,0.725428802,0.290782619,0.432821336,0.015045368,0.003190083,0.000490511,0.162641739,0.344689624,0.276129116,0.004675283,0.838779836,0.729166993,0.337577579,0.006951263,0.927110646,0.002053546,0.0127654,0.000164324,0.000112286,0.593888874,1590000000.0,0.671575754,0.553702859,0.838779836,0.337577579,0.118491171,0.647154832,0.459859581,0.588656554,0.315612443,0.058505814,0,0.782755019,0.000978962,0.624791825,0.595879181,0.838417755,0.285793125,0.026295744,0.560711387,1,0.018943394
575,575,0,0.456296007,0.51749891,0.507843032,0.593709912,0.593709912,0.99893061,0.797283215,0.809215056,0.303419145,0.781463308,4000000000.0,0.0,0.462256444,0.000663066,0.0,0.170578568,0.170578568,0.170578568,0.20686395,0.319339322,0.016864044,0.092826317,0.164043082,0.02196762,0.84766557,0.65088322,0.65088322,0.217211868,6440000000.0,0.000427743,0.263700647,0.379494058,0.00987142,0.003418646,0.627521198,0.008824629,0.145418266,0.854581734,0.005461022,0.375965984,0.006278639,0.092823294,0.163057085,0.407621416,0.07946027,0.000458543,0.013785507,3630000000.0,0.000199715,0.025,0.021952617,0.389735646,0.013846968,0.829956943,0.451564131,0.743496123,0.015332297,0.005795325,0.000576935,0.140851614,0.343064265,0.277511465,0.010876121,0.920881345,0.738359581,0.333477722,0.000559213,0.927460584,0.00205271,0.011375633,0.000384012,0.000235066,0.594020566,2120000000.0,0.671573597,0.199468925,0.920881345,0.333477722,0.111700608,0.644147679,0.459487888,0.575945573,0.314789377,0.02955836,0,0.784134301,0.009478603,0.625223052,0.593705473,0.838965545,0.281178666,0.026300404,0.560789486,1,0.025130506
576,576,0,0.476868327,0.539686001,0.530488784,0.601875207,0.601875207,0.999050202,0.797403986,0.809328848,0.30337999,0.781607308,5130000000.0,0.0,0.462392324,0.000363036,0.024293957,0.174033964,0.174033964,0.174033964,0.217452964,0.319940581,0.01579019,0.101783242,0.171273631,0.022192909,0.849556953,0.689742616,0.689742616,0.217640363,6080000000.0,0.000508246,0.264386787,0.379466115,0.004166602,0.002693119,0.633339612,0.011394414,0.164404269,0.835595731,0.004980406,0.378768596,0.005533416,0.100648135,0.170077671,0.401228258,0.058470765,0.000635062,0.009957433,5920000000.0,635000000.0,0.02516129,0.014423571,0.396237082,0.028980547,0.716684206,0.20498991,0.304419493,0.005143264,0.00275493,0.00020489,0.133018718,0.342985012,0.27653588,0.004001247,0.76938256,0.728782786,0.334054583,0.000427882,0.906339118,0.002269588,0.009367218,0.000202322,0.000138981,0.593855336,932000000.0,0.671571015,0.48392202,0.76938256,0.334054583,0.111211533,0.642013127,0.459132013,0.576972339,0.314374652,0.067667349,0,0.798118524,0.007392459,0.614027037,0.60187021,0.840266063,0.283042387,0.028828879,0.568476487,1,0.021809493
577,577,0,0.52800663,0.581007414,0.563681139,0.600304127,0.600332954,0.999038185,0.797486298,0.809374808,0.303548938,0.781637764,3860000000.0,1870000000.0,0.469026949,0.000253025,0.324121875,0.196114787,0.196114787,0.196114787,0.254798147,0.367722996,0.123614199,0.139890888,0.2174437,0.022122712,0.848063203,0.689538101,0.689538101,0.217609376,7820000000.0,0.000478925,0.264230599,0.430740285,0.007635546,0.007852903,0.630657114,0.018200057,0.197478611,0.802521389,0.012730463,0.371883968,0.006292654,0.139894475,0.216341151,0.408209554,0.262368816,0.000868392,0.007277866,0.0004773,0.01004629,0.092419355,0.139846952,0.428099772,0.001939191,0.796532993,0.809828271,0.778930679,0.466374733,0.007742787,0.013075674,0.189202858,0.361722156,0.276984075,8070000000.0,0.917059772,0.737586894,0.341072971,0.001855049,0.941831377,0.002563526,0.013852616,0.000120368,0.000131592,0.593934422,0.000208592,0.671622704,0.013528302,0.917059772,0.341072971,0.114981535,0.788735448,0.478227118,0.698338715,0.355114981,0.037967829,0,0.823007166,0.003467334,0.624196253,0.600303871,0.843779587,0.287978353,0.026800687,0.565203434,1,0.017511712
584,584,0,0.527909131,0.577354993,0.574977247,0.605997492,0.605651566,0.999088679,0.79750954,0.809416341,0.303483921,0.781682255,7340000000.0,458000000.0,0.46712631,0.000360036,0.102135844,0.172938351,0.172938351,0.172938351,0.230027418,0.327898423,0.029674668,0.112938686,0.183776456,0.022327109,0.848337891,0.690159611,0.690159611,0.217684046,8000000000.0,0.000487534,0.264462161,0.390726873,0.008746931,0.006033785,0.631110533,0.009830474,0.153460108,0.846539892,0.005099872,0.377104475,0.005365848,0.112894295,0.182799186,0.405631927,0.134932534,0.000596512,0.010583348,0.000131076,0.000144491,0.039032258,0.015431165,0.398521065,0.014342673,0.795480652,0.414899136,0.522295572,0.05414872,0.006751511,0.002569757,0.111581568,0.352609685,0.277355248,0.005506955,0.688897625,0.735766553,0.332285488,0.008800426,0.935444378,0.002495785,0.01437833,0.000162603,0.000132491,0.593952422,4720000000.0,0.671581968,0.465522268,0.688897625,0.332285488,0.119924536,0.657292353,0.461662266,0.623929131,0.317342929,0.033268123,0,0.81832957,0.001542708,0.624093094,0.605998288,0.842190234,0.281908544,0.026946392,0.565803785,1,0.023625875
592,592,0,0.471749622,0.528074575,0.525456395,0.596808833,0.597082691,0.998980873,0.797366081,0.809294867,0.303458784,0.781579518,4380000000.0,577000000.0,0.461050301,0.000279028,0.0,0.18241962,0.18241962,0.18241962,0.217452964,0.317111127,0.04405826,0.099340445,0.167733675,0.022055691,0.84799396,0.689073815,0.689073815,0.217567568,6790000000.0,0.000418385,0.263410806,0.371167244,0.016019919,0.015986535,0.625490404,0.00876809,0.144934547,0.855065453,0.008438514,0.37594138,0.007794677,0.098921947,0.166963276,0.404434215,0.166416792,0.000612744,0.010335714,0.003020674,0.001337488,0.041612903,0.095022252,0.398351462,0.008548624,0.850833908,0.608974312,0.586249633,0.081611881,0.016078888,0.00623215,0.069163591,0.340185555,0.276978738,0.000201374,0.446905744,0.74002756,0.329755582,0.014108957,0.930941801,0.002195054,0.015570599,0.000136773,0.000148564,0.593978974,5420000000.0,0.671586848,0.059098234,0.446905744,0.329755582,0.126190184,0.671268698,0.464254493,0.562394146,0.319739775,0.018311096,0,0.792762301,0.003122667,0.6252527,0.596810358,0.839751473,0.281137879,0.026112404,0.556110549,1,0.025224623
597,597,0,0.514600497,0.577464021,0.559291183,0.604210208,0.604239035,0.999060254,0.797519085,0.809409571,0.303559814,0.781674677,7910000000.0,0.0,0.473029533,0.000394039,0.21672234,0.20336269,0.20336269,0.20336269,0.23721282,0.336033105,0.046357215,0.116765736,0.192814642,0.022070862,0.848004501,0.689307415,0.689307415,0.217582859,5220000000.0,0.000425198,0.263643145,0.389190045,0.013561892,0.010572848,0.630666703,0.003697827,0.085043988,0.914956012,0.007463518,0.36965843,0.005365848,0.115784845,0.191169595,0.40358617,0.16041979,0.000513325,0.012309952,0.000132987,0.001491814,0.034516129,0.068933508,0.414836842,0.00721386,0.848204087,0.511619426,0.641899959,0.094750396,0.0104572,0.005618888,0.08919953,0.374910666,0.277187901,0.008366936,0.979623592,0.737591297,0.329487547,0.0,0.944428546,0.002529108,0.016834389,0.000140033,0.000114749,0.593973132,5880000000.0,0.671576022,0.073614162,0.979623592,0.329487547,0.110933234,0.650698496,0.461553736,0.660903022,0.315585513,0.021611036,0,0.825437203,0.001697536,0.624110296,0.604212029,0.841962512,0.277460732,0.026804543,0.565221427,1,0.045059968
598,598,0,0.484083264,0.545137375,0.531345361,0.596888107,0.597298894,0.998968394,0.797437879,0.809345514,0.303610329,0.781606185,5970000000.0,107000000.0,0.46834755,0.00049905,0.293349529,0.205553917,0.205553917,0.205553917,0.223031105,0.330268091,0.046130345,0.096897647,0.179558635,0.022017748,0.847932753,0.689213842,0.689213842,0.217572067,3910000000.0,0.000442416,0.263626827,0.385948735,0.010128518,0.009725049,0.630840331,0.004884232,0.102911389,0.897088611,0.013386217,0.370850603,0.005629692,0.096878206,0.178583817,0.397992827,0.125937031,0.000430138,0.014684673,0.000691493,0.002918568,0.034516129,0.049081268,0.393218154,0.001681235,0.804938216,0.483963344,0.487976183,0.241526016,0.009753865,0.014127406,0.090440956,0.357958235,0.277036131,0.001322925,0.825285402,0.735367315,0.329842571,0.0,0.941503589,0.002374051,0.011679114,0.000118316,0.000123136,0.593951343,0.000168921,0.671568224,0.021370783,0.825285402,0.329842571,0.110933234,0.635393962,0.457431935,0.622957229,0.313487047,0.028823018,0,0.805801206,0.000915119,0.62434294,0.59688629,0.840741443,0.278321484,0.026843793,0.565397469,1,0.036824572
608,608,0,0.561985083,0.617313563,0.607687778,0.603929143,0.603929143,0.999082671,0.797639026,0.809511385,0.303722961,0.781781203,5180000000.0,2290000000.0,0.461504911,0.0,0.163073186,0.195777675,0.195777675,0.195777675,0.252056349,0.31781849,0.038961235,0.117335722,0.206296603,0.022124576,0.848167314,0.689568022,0.689568022,0.217611772,7720000000.0,0.00047885,0.264476148,0.368307813,0.009116352,0.007846041,0.630620128,0.005719549,0.113795084,0.886204916,0.00566255,0.369637181,0.005365848,0.117340043,0.205323882,0.405268862,0.151424288,0.000543759,0.011637926,0.000210371,0.000440282,0.035322581,0.011013028,0.396406685,0.00359258,0.803767186,0.501068988,0.569585037,0.016336806,0.007791515,0.000740727,0.116812167,0.340999213,0.277205355,0.003774853,0.969505034,0.735492831,0.331190724,0.0,0.950169311,0.003198869,0.008322694,0.000156037,0.000141662,0.593954197,1260000000.0,0.671535592,0.184790613,0.969505034,0.331190724,0.110933234,0.581266597,0.445584034,0.56586107,0.305213308,0.031953411,0,0.843185754,0.001283043,0.624621258,0.603927958,0.843600264,0.27892728,0.026792797,0.565166205,1,0.033030433
611,611,0,0.491541949,0.554949847,0.5419455,0.602667954,0.602667954,0.999015538,0.797505389,0.809405404,0.303629665,0.781662887,9880000000.0,5450000000.0,0.46317573,0.0,0.166616054,0.174876744,0.174876744,0.174876744,0.220194762,0.318631959,0.013173616,0.098526179,0.175868042,0.022130993,0.848133787,0.689325881,0.68932089,0.217601983,6610000000.0,0.00044314,0.263824976,0.374324727,0.020550326,0.017896111,0.630612252,0.002381018,0.060948695,0.939051305,0.006460768,0.369637181,0.005439578,0.098555539,0.174896312,0.399299057,0.088455772,0.000549846,0.01148166,0.000120758,0.000338154,0.020806452,0.011938369,0.394122702,0.004398264,0.873557813,0.57133449,0.63433373,0.242810533,0.017858882,0.021911843,0.05845275,0.34538568,0.277071819,0.007297705,0.879329745,0.738337303,0.328125095,0.0,0.938098656,0.002471184,0.00996248,0.000292833,0.000268975,0.59406279,0.000302461,0.671605191,0.129033606,0.879329745,0.328125095,0.110933234,0.677092096,0.472990119,0.574276007,0.318592542,0.014267213,0,0.810021293,0.003140842,0.625297242,0.602667842,0.84086433,0.276505785,0.026791157,0.565158396,1,0.063289143
617,617,0,0.443913616,0.470126472,0.494351946,0.590711887,0.590928091,0.998876881,0.797022166,0.808970024,0.303075449,0.781304711,4910000000.0,0.0,0.461991394,0.00030403,0.0,0.144031014,0.144031014,0.144031014,0.210456651,0.31764165,0.003433308,0.093884863,0.165323492,0.022227818,0.848122082,0.689445307,0.689445307,0.217607066,8160000000.0,0.000514484,0.263549122,0.376532171,0.010236474,0.007738117,0.630511911,0.002431173,0.0619766,0.9380234,0.005979401,0.370690677,0.005365848,0.093832951,0.164504939,0.397104591,0.065967016,0.000689844,0.009174398,0.000115217,0.000148274,0.018064516,0.007291101,0.389893942,0.005364441,0.778242027,0.186866584,0.241621354,0.047208936,0.007721547,0.005554054,0.044725059,0.341858594,0.277284,0.006847024,0.660131867,0.733368027,0.32767425,1680000000.0,0.827721844,0.001926628,0.018634244,0.000158248,0.000126112,0.5939631,8540000000.0,0.671459398,0.177450991,0.660131867,0.32767425,0.110938172,0.562180727,0.427352873,0.567066996,0.305008419,0.028524083,0,0.762845731,0.001251595,0.623586107,0.59070948,0.838093498,0.276542175,0.026760864,0.565009689,1,0.062251584
621,621,0,0.512650514,0.595399041,0.555168906,0.611755719,0.611503481,0.999166905,0.797743473,0.809584556,0.303729003,0.781722957,8890000000.0,4140000000.0,0.464948877,850000000.0,0.190403887,0.204036914,0.204036914,0.204036914,0.230878321,0.321956568,0.023231544,0.117498575,0.200346464,0.022179303,0.848138963,0.689876498,0.689876498,0.217608984,8390000000.0,0.000492325,0.264629228,0.37795723,0.017467652,0.011585341,0.630666018,0.005810741,0.114913686,0.885086314,0.005826983,0.373643149,0.005365848,0.116704936,0.198265591,0.401289885,0.082458771,0.000584339,0.010809634,4910000000.0,0.00020955,0.023225806,0.014999339,0.402241017,0.010364216,0.847801378,0.394921608,0.540705385,0.100794071,0.012337725,0.009076513,0.058578717,0.345821373,0.277203732,0.013593055,0.475369124,0.738490793,0.328709288,0.011642997,0.942810287,0.002771637,0.010723163,0.000291384,0.000216065,0.594051161,0.000146326,0.671594435,0.20767104,0.475369124,0.328709288,0.120649719,0.662657997,0.463613897,0.583960942,0.317576843,0.01679434,0,0.829967134,0.004274494,0.625117838,0.611752931,0.842619652,0.278993214,0.026798388,0.56519264,1,0.032681816
623,623,0,0.538049042,0.621620148,0.583543016,0.600938324,0.600938324,0.999048931,0.79759033,0.809477143,0.303708217,0.781702185,3750000000.0,679000000.0,0.460241732,0.000279028,0.141411074,0.221103198,0.221103198,0.221103198,0.251867259,0.3156964,0.060982803,0.120348506,0.218196882,0.022194126,0.848168161,0.689726198,0.689726198,0.217612532,8410000000.0,0.000553089,0.264737239,0.372182482,0.015593087,0.015259761,0.63071362,0.005175134,0.106841612,0.893158388,0.008252614,0.372276512,0.005365848,0.120303874,0.215194933,0.401134477,0.187406297,0.000779118,0.008120674,0.001431328,0.001344296,0.042580645,0.098708929,0.42101038,0.009194619,0.836881971,0.519443571,0.512410397,0.067190546,0.015278526,0.005707119,0.062132124,0.338758184,0.276998311,0.001166382,0.542766627,0.737506149,0.328748548,0.008940798,0.951492184,0.003232389,0.008002642,0.000113952,0.000121591,0.593968377,4330000000.0,0.671579512,0.063044996,0.542766627,0.328748548,0.117710475,0.657406663,0.462689743,0.557944686,0.316682216,0.018810507,0,0.842941904,0.003832943,0.625172244,0.600933251,0.843452949,0.278531969,0.026818689,0.56528634,1,0.035370954
626,626,0,0.421147565,0.482337549,0.468440495,0.593191023,0.593508122,0.998879076,0.79670675,0.808657941,0.302519784,0.78085671,8830000000.0,0.0,0.464680473,0.000580058,0.0,0.170241456,0.170241456,0.170241456,0.194384041,0.321461413,0.006352375,0.09274489,0.154552986,0.021947772,0.847706697,0.689335461,0.689337365,0.217590362,5620000000.0,0.000403812,0.263834301,0.382092694,0.006426189,0.002944527,0.63001363,0.008127012,0.139281071,0.860718929,0.005155739,0.375658435,0.005440187,0.092766297,0.153510293,0.399458484,0.029985007,0.000702018,0.009003616,2310000000.0,4310000000.0,0.014677419,0.00903603,0.389475589,0.027461615,0.756497154,0.134829946,0.295963962,0.074762864,0.002860565,0.004608871,0.085788942,0.346452282,0.280763071,0.009559624,0.580050688,0.732382441,0.330455186,0.006008865,0.902805941,0.002010076,0.025655374,0.00039286,0.0001823,0.593934902,0.000261152,0.671594471,0.379482534,0.580050688,0.330455186,0.114133769,0.65114145,0.460774225,0.590784531,0.316012111,0.044845532,0,0.762915612,0.012598375,0.620424842,0.593187934,0.83715083,0.280673031,0.026663742,0.564467561,1,0.026387799
630,630,0,0.427826257,0.496511121,0.478184057,0.596131394,0.597068277,0.998942627,0.796906375,0.808877975,0.302735621,0.781043377,8190000000.0,0.0,0.458772217,0.000554055,0.0,0.178753529,0.178753529,0.178753529,0.19693675,0.314812195,0.007532102,0.094536276,0.157038488,0.022245233,0.848114753,0.689416569,0.689416569,0.217592638,598000000.0,0.000408927,0.264008361,0.372797213,0.008489209,0.004084907,0.62992185,0.006815674,0.126341567,0.873658433,0.005265583,0.374729077,0.006049527,0.094549481,0.156074203,0.398729675,0.032983508,0.000941434,0.006718556,2480000000.0,5140000000.0,0.014677419,0.009664674,0.391352525,0.024441846,0.775440918,0.150225944,0.307144933,0.051493511,0.004060018,0.003999926,0.067984653,0.336629574,0.277871307,0.011787954,0.503798421,0.733712698,0.329312038,0.008631682,0.916081675,0.002039364,0.021085382,0.000377284,0.000187684,0.593992785,0.000166848,0.671560212,0.340492509,0.503798421,0.329312038,0.115340773,0.638103399,0.458305907,0.548041389,0.31378069,0.034252221,0,0.772413311,0.01528412,0.622255317,0.5961327,0.838136939,0.279722062,0.026623492,0.564208172,1,0.029435741
634,634,0,0.543655243,0.586567815,0.591680497,0.605017368,0.605017368,0.999092261,0.797536239,0.809426757,0.303523076,0.781694747,5970000000.0,1090000000.0,0.467401424,0.000312031,0.186456119,0.185748599,0.185748599,0.185748599,0.238536447,0.331470609,0.04151731,0.120674212,0.193266551,0.022071462,0.848015006,0.689352282,0.689352282,0.217587873,7580000000.0,0.000449977,0.263795448,0.383871689,0.008295762,0.007359446,0.630753003,0.007776835,0.136015963,0.863984037,0.005108186,0.37238723,0.006206737,0.120653997,0.192323354,0.404791921,0.164917541,0.000635062,0.00996768,0.000225084,0.00019215,0.04,0.012945963,0.39760521,0.009029803,0.793179981,0.509247269,0.56146858,0.088913335,0.00732105,0.003732982,0.126189064,0.356575714,0.277211239,0.00287276,0.879750978,0.735175824,0.33233874,0.003065034,0.942918352,0.002561116,0.015603374,0.000139387,0.000131119,0.593943627,627000000.0,0.671569189,0.431581157,0.879750978,0.33233874,0.113934505,0.637226423,0.458208771,0.634882152,0.313582435,0.035029593,0,0.826206017,0.00180545,0.61395696,0.605013437,0.842633912,0.280418886,0.026808653,0.565240465,1,0.02710343
638,638,0,0.547701458,0.546064108,0.579313668,0.608008187,0.608008187,0.999119183,0.797613433,0.809432355,0.303601386,0.781652641,8060000000.0,1270000000.0,0.484799074,0.000306031,0.433343456,0.181913952,0.181913952,0.181913952,0.21698024,0.324821391,0.006548996,0.099991857,0.175416133,0.022053589,0.848012406,0.689297056,0.689297056,0.217585175,5930000000.0,0.000442466,0.263651693,0.380798033,0.043963669,0.043562778,0.631197518,0.001944209,0.051697554,0.948302446,0.005444142,0.37182805,0.005365848,0.100013028,0.174443858,0.39483376,0.037481259,0.001030708,0.006140459,19100000.0,4770000000.0,0.014032258,0.0113156,0.397910495,0.025656981,0.900628287,0.658877151,0.631221464,0.623653385,0.044097065,0.12005069,0.027148971,0.374468891,0.27697486,0.0,0.472665661,0.73945605,0.327047645,0.004860423,0.942782957,0.002488106,0.005362323,0.000662383,0.000699568,0.594314422,0.001717389,0.671630926,0.359161603,0.472665661,0.327047645,0.114446547,0.670473387,0.472154269,0.624209841,0.317690589,0.006560453,0,0.80405619,0.004277421,0.623114189,0.608003386,0.840497189,0.276188954,0.026909586,0.565666185,1,0.074438911
641,641,0,0.502364354,0.561218927,0.556400236,0.609449545,0.609449545,0.999123459,0.797495567,0.809405665,0.303386758,0.781658676,9960000000.0,3460000000.0,0.469275224,0.000579058,0.091507238,0.20584889,0.20584889,0.20584889,0.227191075,0.331435241,0.030461152,0.118312841,0.182571364,0.022144662,0.84809666,0.689412645,0.689412645,0.217593849,7360000000.0,0.000462654,0.264086067,0.386135017,0.011339122,0.006329485,0.631994767,0.010266371,0.156664752,0.843335248,0.005513469,0.378850236,0.006494345,0.118260133,0.181607722,0.402823868,0.077961019,0.000695931,0.009085592,5040000000.0,0.000137683,0.026451613,0.009976059,0.397345153,0.009454485,0.799256515,0.22456251,0.376933996,0.043548194,0.006571426,0.003664861,0.062714554,0.34972764,0.277429817,0.012659367,0.373351569,0.736185256,0.329693907,0.026438922,0.939278612,0.00236351,0.015329683,0.000202082,0.000121873,0.593983755,6390000000.0,0.67156993,0.281719746,0.373351569,0.329693907,0.130975113,0.64084223,0.458934435,0.610547915,0.314153586,0.025795006,0,0.807934934,0.005612121,0.624183317,0.609447658,0.841218115,0.282224532,0.027323686,0.566846783,1,0.023064788
644,644,0,0.4971969,0.568251199,0.548905188,0.601406766,0.601579729,0.999042922,0.797577188,0.809480138,0.303697824,0.781725343,5390000000.0,3310000000.0,0.465188764,0.0,0.066605932,0.200792213,0.200792213,0.200792213,0.225489269,0.318985641,0.015396948,0.10113183,0.180839045,0.022070688,0.848015053,0.689411952,0.689411952,0.217591646,655000000.0,0.000452448,0.263994374,0.376001267,0.028988365,0.027207553,0.630612594,0.000862674,0.02539529,0.97460471,0.009715012,0.369637181,0.005365848,0.101087824,0.179880854,0.395495584,0.077961019,0.001164619,0.005434277,0.000361128,0.000839713,0.018225806,0.015087467,0.396067479,0.002528085,0.843462604,0.414575217,0.424456846,0.07088097,0.027271612,0.013354652,0.027748151,0.351216654,0.277015114,0.004779125,0.924104727,0.736132937,0.326979489,0.0,0.950969963,0.002752318,0.007137767,0.000219597,0.000220493,0.594041429,0.000100031,0.671471053,0.051797601,0.924104727,0.326979489,0.110933234,0.550114602,0.377588284,0.574436818,0.305054447,0.010069826,0,0.817789245,0.007488153,0.62691436,0.601402154,0.841152303,0.275404983,0.026791302,0.565159089,1,0.143993193
647,647,0,0.536635304,0.59757959,0.580812677,0.610465703,0.610141397,0.999138364,0.797628651,0.809496412,0.303588093,0.781748642,9560000000.0,5090000000.0,0.469479882,0.0,0.191821035,0.234419114,0.234419114,0.234419114,0.245721849,0.326943482,0.038114252,0.126781207,0.20388642,0.022172286,0.848214687,0.690137711,0.690137711,0.217658458,7490000000.0,0.000470215,0.264696832,0.382027495,0.028177759,0.022148207,0.630613622,0.001962447,0.052120809,0.947879191,0.008821494,0.369637181,0.005365848,0.125856987,0.202126536,0.398622497,0.125937031,0.001174764,0.005379627,9840000000.0,0.000953944,0.025322581,0.019109029,0.403247326,0.002275558,0.921083265,0.680176045,0.790715301,0.295149186,0.023348311,0.02924652,0.053190674,0.363206147,0.27708672,0.01281382,0.927010076,0.740497615,0.327885442,0.0,0.951802657,0.002692934,0.013619311,0.000265724,0.000233055,0.594065203,0.000269569,0.671647694,0.056889348,0.927010076,0.327885442,0.110933234,0.74972946,0.508862427,0.604620965,0.326700358,0.010364886,0,0.832873661,0.003267898,0.625246877,0.61046751,0.842124675,0.27620212,0.026791528,0.565160168,1,0.073883066
657,657,0,0.51889046,0.542629743,0.560576048,0.601068047,0.601068047,0.998999361,0.797422247,0.809335358,0.303518484,0.781595659,8940000000.0,0.0,0.463286446,0.000651065,0.284947869,0.186844212,0.186844212,0.186844212,0.216602061,0.319303954,0.015502821,0.097956192,0.172252768,0.023016723,0.848184819,0.689778626,0.689778626,0.217636563,6200000000.0,0.00044883,0.264469932,0.378441563,0.009520095,0.008033817,0.632983452,0.003962283,0.089306769,0.910693231,0.005095394,0.373437371,0.005365848,0.097977429,0.17130684,0.397246601,0.071964018,0.000720278,0.008769645,0.000323869,5670000000.0,0.020322581,0.008765771,0.393059858,0.017917258,0.783696273,0.302382349,0.325664804,0.100759684,0.008595769,0.008257205,0.064416364,0.344511576,0.277123369,0.002740919,0.67155772,0.733882351,0.328617648,0.00967799,0.932500064,0.002282692,0.011052472,0.000176179,0.000168921,0.593962447,0.000150309,0.671600806,0.597749818,0.67155772,0.328617648,0.115237149,0.667653369,0.466197686,0.575931994,0.317876218,0.030627887,0,0.799358109,0.001302582,0.623508214,0.601068871,0.840267113,0.277652747,0.027884857,0.567721099,1,0.042809377
661,661,0,0.47199337,0.536851287,0.52497457,0.594891826,0.594891826,0.998930379,0.797404401,0.809328848,0.303631357,0.781557624,5920000000.0,883000000.0,0.464816353,7000000.0,0.037351959,0.169230121,0.169230121,0.169230121,0.214049352,0.318455118,0.011797268,0.093559156,0.170972358,0.021973957,0.847839912,0.689220363,0.689229308,0.217557785,6760000000.0,0.000447507,0.263776799,0.377454268,0.032701926,0.024556231,0.630617046,0.001235649,0.035099918,0.964900082,0.00532615,0.370167284,0.005365848,0.093515397,0.16997964,0.398440295,0.098950525,0.000848102,0.007449502,8790000000.0,0.00012104,0.020967742,0.014608639,0.390459284,0.01522893,0.877058901,0.444744458,0.56296242,0.150374594,0.024911567,0.024166892,0.032612849,0.349082451,0.277123229,0.020453031,0.815869987,0.737869667,0.327155741,0.0,0.933446678,0.00229591,0.009165521,0.000229093,0.00018457,0.594050586,0.000167148,0.671578499,0.409152275,0.815869987,0.327155741,0.110933234,0.650147505,0.464069988,0.57500714,0.315333212,0.00890259,0,0.799484964,0.001815549,0.797385064,0.594889033,0.840226934,0.275675376,0.026792591,0.565165225,1,0.107610178
