,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
304,0,0.520791693,0.579099433,0.564323572,0.599223108,0.599223108,0.998999245,0.797420863,0.809335488,0.303516067,0.781595238,5980000000.0,0.0,0.456682016,0.00079508,0.254074299,0.180902617,0.180902617,0.180902617,0.236551007,0.299462404,0.16050335,0.124175556,0.193567824,0.022248014,0.848298929,0.68987292,0.68987292,0.21764827,7780000000.0,0.000498539,0.264395335,0.340402742,0.01014287,0.007433683,0.631029712,0.012484155,0.171085649,0.828914351,0.014672309,0.375652843,0.005365848,0.124138942,0.192602368,0.420961037,0.545727136,0.001152445,0.005489781,0.000290049,0.022265242,0.151290323,0.071850535,0.401200787,0.000426743,0.858408108,0.773846892,0.971765212,0.064483708,0.007822258,0.001910198,0.179046732,0.326529593,0.277267732,0.006345469,1.0,0.742439975,0.337336394,0.0,0.939316704,0.002340347,0.03704332,6560000000.0,5500000000.0,0.593936845,1380000000.0,0.671572414,0.012104022,1.0,0.337336394,0.110933234,0.643634548,0.459379915,0.486681947,0.314721578,0.028782494,0,0.819891318,0.001970595,0.62387986,0.599220573,0.84266011,0.283833119,0.026897344,0.565618487,1,0.02080915
305,0,0.443036123,0.482828173,0.492371112,0.587620173,0.587620173,0.998840599,0.797238531,0.809171049,0.303529602,0.781416571,3250000000.0,0.0,0.46278151,0.000275028,0.0,0.155956344,0.155956344,0.155956344,0.201096719,0.319162481,0.020191479,0.083869392,0.159674625,0.021504575,0.846322645,0.687307127,0.687307127,0.217473621,5710000000.0,0.00041559,0.263340094,0.378208711,0.005634304,0.001399274,0.63031979,0.008604857,0.143543852,0.856456148,0.00496297,0.375620411,0.005365848,0.084021366,0.158781389,0.402407214,0.134932534,0.002917635,0.002167221,7220000000.0,0.000110449,0.036612903,0.02303365,0.382725402,0.025603299,0.745301531,0.102521482,0.362645096,0.010392877,0.001525985,0.000463313,0.118814884,0.343951837,0.269934161,0.010959663,0.784750183,0.73149835,0.332262038,0.002680561,0.899061424,0.001503522,0.007354408,9470000000.0,2300000000.0,0.59391065,801000000.0,0.671572175,0.629131335,0.784750183,0.332262038,0.112723078,0.64272465,0.459238163,0.579930709,0.314529238,0.050869004,0,0.764641757,0.003960883,0.624667045,0.587618635,0.837226563,0.281019525,0.02670461,0.564708912,1,0.025504586
306,0,0.476478331,0.533416921,0.527811981,0.604635408,0.604635408,0.998959959,0.797393334,0.809313094,0.303550146,0.781571238,0.000185943,0.0,0.467257157,0.000408041,0.495191821,0.181281868,0.181281868,0.181281868,0.215089345,0.31997595,0.021628326,0.095106262,0.170972358,0.022108046,0.848134904,0.689269559,0.689269559,0.217578475,6140000000.0,0.000446284,0.263933764,0.379754853,0.018572173,0.01595971,0.631123204,0.001502841,0.041630136,0.958369864,0.00551967,0.369637181,0.005365848,0.095119449,0.16998718,0.397343062,0.134932534,0.001028679,0.006143875,0.00027247,0.000232245,0.026290323,0.014767269,0.39190656,0.008115951,0.820679032,0.339912626,0.375968548,0.099152341,0.016229046,0.013562296,0.038401773,0.355201482,0.277073197,0.006399612,0.822664959,0.735300525,0.327359399,0.0,0.942043664,0.00223773,0.03167794,0.000101715,9660000000.0,0.593968243,7850000000.0,0.671572695,0.302931735,0.822664959,0.327359399,0.110933234,0.643578809,0.459644917,0.585598084,0.314636997,0.015794181,0,0.797389747,0.00078694,0.623990623,0.604632491,0.840118267,0.275869369,0.026881827,0.565556569,1,0.091710054
309,0,0.486374494,0.544755778,0.540500027,0.603475115,0.603475115,0.998943552,0.797414915,0.809338353,0.303621931,0.781598466,0.000183746,0.0,0.465754091,0.000728073,0.039983804,0.185875016,0.185875016,0.185875016,0.218209322,0.321036995,0.025061633,0.09323345,0.173081268,0.022080439,0.841390553,0.689397525,0.689397525,0.217593199,6760000000.0,0.000452099,0.26397184,0.381068142,0.011385924,0.009680132,0.631230737,0.002449411,0.06233939,0.93766061,0.005450065,0.370535225,0.005365848,0.093197844,0.172091094,0.397339042,0.137931034,0.001105779,0.005719482,0.000297692,0.000228462,0.027741935,0.015951118,0.391024626,0.008962851,0.799890751,0.344784958,0.380131168,0.1099419,0.010019642,0.009212857,0.062985232,0.352842459,0.277113147,0.003881259,0.928238938,0.734506997,0.328288508,0.0,0.937101764,0.002269939,0.029797683,0.000104888,9980000000.0,0.593952941,8840000000.0,0.67156397,0.304841377,0.928238938,0.328288508,0.110933234,0.629533297,0.45400784,0.590130013,0.312978148,0.025690359,0,0.802923478,0.000784802,0.623908332,0.603473885,0.840451101,0.276555324,0.027003182,0.566000432,1,0.061886603
314,0,0.453127285,0.514991278,0.501954066,0.601168942,0.601255423,0.998986535,0.797324163,0.809255287,0.303373706,0.781509343,0.000105114,391000000.0,0.464346645,0.00029803,0.0,0.165732586,0.165732586,0.165732586,0.2050676,0.322557827,0.038401621,0.099829004,0.162235445,0.022069203,0.847972256,0.688558313,0.688558313,0.217121204,6610000000.0,0.000390436,0.263584866,0.379866622,0.006800603,0.005079309,0.629219463,0.016453734,0.190676301,0.809323699,0.006051704,0.383626754,0.005924003,0.099825753,0.161217103,0.402395157,0.142428786,0.00116259,0.005437692,0.000201009,0.000514418,0.046290323,0.020665952,0.393715655,0.005226315,0.761827732,0.266422767,0.334310161,0.049326939,0.005293475,0.002849319,0.091587326,0.344746756,0.277928946,0.004246422,0.452497288,0.733222976,0.332938812,0.029466323,0.927460918,0.002163135,0.030411814,8610000000.0,717000000.0,0.593922953,380000000.0,0.671580722,0.14341822,0.452497288,0.332938812,0.13708459,0.65709586,0.461180287,0.58971468,0.318255391,0.042467458,0,0.784048839,0.004033717,0.62366875,0.601168019,0.838501089,0.28671172,0.026468388,0.56294259,1,0.0182782
321,0,0.531857846,0.610826428,0.588575406,0.602466164,0.603186843,0.998989193,0.797555469,0.809466988,0.303772267,0.781719449,0.00013356,4070000000.0,0.463043205,0.000552055,0.029962547,0.200370823,0.200370823,0.200370823,0.243925499,0.320188159,0.042712162,0.10088755,0.196881826,0.022129001,0.848068332,0.689572552,0.689572552,0.217609008,7720000000.0,0.000497565,0.264435741,0.37680228,0.009679845,0.007252769,0.63073588,0.004143755,0.092148623,0.907851377,0.007759512,0.370846129,0.008636785,0.100867979,0.195965613,0.401527016,0.173913043,0.000850131,0.007429862,0.000155533,0.001227039,0.036935484,0.018853458,0.393726962,0.001886413,0.798195905,0.353033862,0.457804119,0.034603091,0.007249852,0.002062714,0.088735143,0.345147941,0.277318601,0.006627762,0.901677159,0.73478103,0.329584363,0.000696567,0.95149564,0.002516202,0.025397268,0.000104856,8360000000.0,0.59394541,2320000000.0,0.671570583,0.065189709,0.901677159,0.329584363,0.111371983,0.639618429,0.458374572,0.578207836,0.314116894,0.030131613,0,0.838515103,0.006694972,0.623807526,0.602461739,0.842910639,0.277784485,0.026828785,0.565331648,1,0.041426386
322,0,0.516257983,0.559583515,0.562878098,0.601190562,0.601190562,0.999039803,0.797481318,0.809391864,0.303536853,0.781656852,5080000000.0,2870000000.0,0.468842421,0.000266027,0.109525256,0.235051199,0.235051199,0.235051199,0.235794649,0.334724482,0.051802108,0.114322938,0.18867214,0.022032113,0.84798155,0.689245783,0.689245783,0.217576209,6780000000.0,0.000443664,0.263517262,0.382297604,0.007387808,0.006380016,0.630951288,0.007001705,0.128306678,0.871693322,0.005324843,0.374674277,0.005860022,0.114156367,0.187715859,0.397596269,0.113943028,0.001010419,0.006252322,0.000266356,0.000170212,0.03,0.019341098,0.397039868,0.015096384,0.765651069,0.258973767,0.286932833,0.111188071,0.00651047,0.008074445,0.072753627,0.352720484,0.277325503,0.002621601,0.531826005,0.733019523,0.329570387,0.019307522,0.950868887,0.002547984,0.008290854,9580000000.0,9110000000.0,0.593928885,0.000108901,0.671590251,0.34770208,0.531826005,0.329570387,0.120264396,0.666644048,0.46396386,0.614929278,0.318471116,0.039200686,0,0.811390703,0.045828383,0.623615244,0.601188736,0.841303763,0.279856636,0.026884629,0.565567873,1,0.028936381
325,0,0.479598304,0.547590493,0.531505969,0.598992491,0.598992491,0.998971976,0.797405923,0.809328458,0.303547004,0.78158808,8340000000.0,3500000000.0,0.461674341,0.0,0.110638729,0.226749821,0.226749821,0.226749821,0.227947433,0.318985641,0.128015488,0.102027522,0.1818935,0.022099323,0.848029088,0.689430303,0.689430303,0.217597609,7040000000.0,0.000457589,0.263995151,0.37607578,0.008813077,0.005201582,0.630622526,0.008778121,0.145025244,0.854974756,0.006908653,0.369637181,0.005365848,0.102007914,0.18092904,0.408740084,0.277361319,0.001377659,0.004591469,0.000113497,0.002056917,0.066935484,0.109469324,0.396112707,0.006755602,0.812920259,0.444261843,0.715698264,0.141854892,0.005292587,0.00496658,0.151415619,0.341514089,0.277612121,0.009442568,0.993547556,0.736964954,0.334004702,0.0,0.945141314,0.002294313,0.025277464,9810000000.0,6130000000.0,0.593939046,5770000000.0,0.671572826,0.066250855,0.993547556,0.334004702,0.110933234,0.644612991,0.459570159,0.568633894,0.314873808,0.033024872,0,0.805472176,0.040566922,0.623668614,0.598993428,0.840904803,0.281145541,0.02679401,0.565171966,1,0.025206852
340,0,0.488226978,0.547754034,0.540071738,0.599821272,0.599821272,0.999019813,0.79738863,0.809306975,0.303416487,0.781564641,488000000.0,0.0,0.462680859,0.000828083,0.9861322,0.170662846,0.170662846,0.170662846,0.214522076,0.322380986,0.046810956,0.108134517,0.171348949,0.02208352,0.848033605,0.689130455,0.689130455,0.217563224,6250000000.0,0.000445036,0.263916669,0.380304385,0.003065825,0.001685617,0.635238901,0.019465799,0.201922786,0.798077214,0.004901179,0.387594697,0.005365848,0.10811471,0.17040193,0.401547112,0.134932534,0.001556207,0.004065461,0.000203875,0.000112718,0.055322581,0.033697105,0.398588906,0.038689368,0.684253752,0.224438763,0.276737294,0.018047102,0.002472129,0.000594813,0.16087587,0.343622298,0.276846928,0.001891239,0.760621366,0.723381089,0.339430797,0.010330013,0.931384953,0.002230411,0.016653143,7150000000.0,6120000000.0,0.593863812,1430000000.0,0.671572968,0.632886605,0.760621366,0.339430797,0.119447839,0.644025204,0.459413835,0.583873832,0.314885138,0.089865095,0,0.79598946,0.005776039,0.620412289,0.599822382,0.840046734,0.288896096,0.034530145,0.569591853,1,0.017041692
345,0,0.505630576,0.559747056,0.549172868,0.60456334,0.60456334,0.99903079,0.797414638,0.809331582,0.303439448,0.781582887,0.000114018,815000000.0,0.463714216,0.00080108,0.244255491,0.172516961,0.172516961,0.172516961,0.218492956,0.32464455,0.049609026,0.11139158,0.176093997,0.022087218,0.848027323,0.689369191,0.689369191,0.217580944,6000000000.0,0.000455318,0.263970285,0.38564137,0.005530092,0.004202189,0.633433789,0.015091329,0.184660036,0.815339964,0.00497743,0.38553915,0.005365848,0.111404237,0.175152703,0.408640945,0.16041979,0.000706076,0.008948112,0.000146553,0.000153569,0.057096774,0.024144059,0.39757129,0.020451928,0.741778104,0.35218295,0.447641681,0.008639337,0.00425419,0.000307647,0.148863536,0.346046217,0.275231457,0.003649804,0.768376915,0.730963513,0.33657243,0.009673694,0.932966188,0.00226804,0.030003088,0.000100308,8180000000.0,0.593908964,569000000.0,0.67156991,0.561131282,0.768376915,0.33657243,0.121763041,0.638240962,0.4586237,0.59666358,0.313410109,0.051783386,0,0.802637951,0.000717098,0.623489272,0.6045643,0.840860319,0.28572377,0.028520302,0.568285889,1,0.01899811
346,0,0.507239312,0.569505015,0.553884041,0.605247986,0.605247986,0.999039456,0.79750871,0.80940254,0.303585192,0.781667659,0.000116099,3240000000.0,0.463741057,0.000215022,0.211762324,0.195356285,0.195356285,0.195356285,0.228987426,0.320223527,0.031731627,0.106831691,0.184604956,0.022089209,0.848023076,0.689504082,0.689504082,0.217615163,7000000000.0,0.000466472,0.264126473,0.378674416,0.009088895,0.007844793,0.63064684,0.003172562,0.076064939,0.923935061,0.006983653,0.370167284,0.005488325,0.106852639,0.183658849,0.39783608,0.143928036,0.001006361,0.006283916,0.000444818,0.000769358,0.03,0.045083207,0.403790054,0.007493228,0.783494391,0.330320654,0.352344195,0.061345785,0.008289286,0.004449985,0.072834726,0.34695001,0.277123918,0.002420368,0.88881219,0.733753348,0.328770492,0.0,0.944242797,0.00242048,0.01956898,9290000000.0,9210000000.0,0.59393942,4790000000.0,0.671559135,0.092956685,0.88881219,0.328770492,0.110933234,0.621103376,0.452156391,0.58048693,0.311818795,0.032046375,0,0.817778517,0.001030935,0.623878151,0.605244805,0.841405614,0.277080167,0.026799666,0.565198645,1,0.050585216
349,0,0.481353288,0.546663759,0.532362546,0.598372706,0.598372706,0.998976598,0.797471634,0.809378584,0.303652143,0.781611378,6880000000.0,475000000.0,0.471768031,0.000274027,0.168640551,0.177868611,0.177868611,0.177868611,0.217642054,0.319940581,0.015215451,0.096327661,0.174964224,0.022087281,0.847995843,0.689389042,0.689389042,0.217584734,6040000000.0,0.000446534,0.263961738,0.377556723,0.022318183,0.003563377,0.630705744,0.004319755,0.094809082,0.905190918,0.005274343,0.370000649,0.005733889,0.096316381,0.173968781,0.39773828,0.07946027,0.003568929,0.001771861,5560000000.0,0.000118014,0.021935484,0.020304628,0.393014631,0.021847512,0.793154607,0.032978377,0.208238623,0.002702001,0.003895122,0.000788037,0.017756548,0.346240994,0.277542547,0.047897669,0.166167695,0.734511722,0.326870546,0.001886371,0.934845169,0.002440095,0.007785703,9550000000.0,1110000000.0,0.593969566,36000000.0,0.671570592,0.351990112,0.166167695,0.326870546,0.111490739,0.641275056,0.458836959,0.581995549,0.314338777,0.013128314,0,0.805528862,0.02948424,0.623347745,0.598367606,0.840694832,0.277912173,0.02679249,0.565164745,1,0.040193537
351,0,0.521669185,0.596162233,0.580491461,0.599100592,0.599107799,0.999007103,0.797459045,0.809386005,0.303566098,0.781649834,5000000000.0,1290000000.0,0.465230702,0.00049705,0.0,0.178837807,0.178837807,0.178837807,0.233052851,0.319622268,0.048852791,0.105773146,0.183851774,0.022097522,0.848096272,0.689625758,0.689625758,0.217613992,6510000000.0,0.000491526,0.264302865,0.37968034,0.026227063,0.021648511,0.631003,0.003698739,0.085074221,0.914925779,0.013239861,0.373206988,0.005535854,0.105785985,0.182867054,0.400500788,0.269865067,0.00112404,0.005626406,0.006794557,0.004846125,0.053387097,0.094937062,0.4066733,0.00239579,0.878705871,0.631043427,0.605212391,0.135135634,0.026334576,0.016252838,0.043739523,0.346221956,0.276975563,7340000000.0,0.47459808,0.739364291,0.327801768,0.005543882,0.944490055,0.002550733,0.018586957,8010000000.0,8990000000.0,0.593964559,5450000000.0,0.6715645,0.027278655,0.47459808,0.327801768,0.115379619,0.61793938,0.45194475,0.580225804,0.311287421,0.011149288,0,0.830860456,0.000933431,0.624690153,0.599098877,0.842316204,0.277461477,0.026931627,0.5657496,1,0.045050643
354,0,0.479013309,0.547590493,0.529257455,0.597709682,0.597702475,0.998980296,0.797398867,0.809320255,0.303517517,0.781577413,5450000000.0,0.0,0.457571106,0.000248025,0.241927321,0.188614049,0.188614049,0.188614049,0.221518389,0.303105326,0.121920232,0.106424558,0.178278226,0.022118192,0.84805091,0.689301615,0.689301615,0.217579338,7010000000.0,0.000449279,0.26391356,0.358639768,0.011512601,0.006341962,0.63203278,0.015539992,0.186715845,0.813284155,0.009542571,0.385855646,0.008110315,0.10638038,0.17727924,0.413189304,0.307346327,0.001682002,0.003760615,0.000125726,0.004671374,0.096129032,0.082132103,0.397322539,0.00225676,0.858837929,0.561273287,0.831488718,0.051421985,0.007511158,0.00201121,0.135492295,0.332685402,0.27734681,0.010682574,0.690442742,0.743967888,0.335815112,0.007004314,0.933805329,0.002280402,0.022336447,0.000103226,7080000000.0,0.593952875,188000000.0,0.671574038,0.032740922,0.690442742,0.335815112,0.125661052,0.649080916,0.460119133,0.516735531,0.316111318,0.025411173,0,0.802544186,0.001917551,0.623898307,0.597708574,0.840863748,0.286049364,0.027275426,0.566741857,1,0.018747029
355,0,0.50972554,0.569995639,0.553937577,0.596974589,0.596974589,0.998992313,0.79741699,0.809333535,0.303524043,0.781593273,3080000000.0,1730000000.0,0.465772544,0.000589059,0.233424436,0.197968901,0.197968901,0.197968901,0.234660112,0.335927,0.157145666,0.118394268,0.190931686,0.022136966,0.848057415,0.689425023,0.689425023,0.217596733,5440000000.0,0.000474158,0.263994374,0.399007116,0.006774394,0.006637662,0.631750592,0.010377625,0.157481029,0.842518971,0.00787984,0.379019108,0.005365848,0.118414839,0.18996305,0.408095678,0.392803598,0.00096984,0.006517033,0.0021083,0.004166033,0.111451613,0.282261357,0.421779245,0.007041957,0.770282076,0.623700978,0.604157944,0.082930629,0.006836246,0.00266571,0.164967402,0.353808533,0.27702079,0.000198321,0.999026235,0.733657618,0.33546206,0.0,0.942871871,0.002321295,0.034619139,4570000000.0,5330000000.0,0.593919441,214000000.0,0.671574894,0.042175427,0.999026235,0.33546206,0.110933234,0.65594422,0.461384331,0.631545474,0.317154448,0.042623323,0,0.81446245,0.006062269,0.623876083,0.59697449,0.841869795,0.282305367,0.027151207,0.566438905,1,0.022928724
363,0,0.480427046,0.539795028,0.531238289,0.596347598,0.596347598,0.998962733,0.797402187,0.809321818,0.303559814,0.781579939,5030000000.0,0.0,0.463709184,0.000231023,0.284036846,0.203531246,0.203531246,0.203531246,0.219060225,0.324220132,0.066669692,0.095839101,0.175265497,0.022104222,0.847945034,0.689413914,0.689413914,0.217590703,6310000000.0,0.000455193,0.26399282,0.383433926,0.00646051,0.006113012,0.63097663,0.006922368,0.127490401,0.872509599,0.007398752,0.370713044,0.005365848,0.095844122,0.174277958,0.403212388,0.1994003,0.000738539,0.008572392,0.000768878,0.001472901,0.047903226,0.044539753,0.392245766,0.003389362,0.760055245,0.434257264,0.445302755,0.038086357,0.006161219,0.00158074,0.127655237,0.347277312,0.277393293,0.001129566,0.94884856,0.732608036,0.332096983,0.000772743,0.939803182,0.002297775,0.012475544,7900000000.0,8240000000.0,0.593919502,2060000000.0,0.671570356,0.061522476,0.94884856,0.332096983,0.111505106,0.63827478,0.458348342,0.592047394,0.313803541,0.044617451,0,0.800899801,0.00424353,0.623763106,0.596346678,0.840443527,0.279799687,0.026879047,0.565545295,1,0.029144493
371,0,0.471847121,0.543120366,0.521923015,0.598437568,0.598437568,0.998961693,0.7974228,0.809335619,0.303598003,0.78157236,8480000000.0,0.0,0.466485494,0.000391039,0.286466242,0.168092369,0.168092369,0.168092369,0.21518389,0.324892127,0.02241481,0.095269115,0.173382541,0.022239891,0.848157773,0.689718725,0.689718725,0.217628622,4350000000.0,0.000453296,0.265719436,0.391425431,0.003677992,0.002708715,0.632204011,0.007780483,0.136076428,0.863923572,0.005903289,0.375165238,0.005365848,0.095298582,0.17230224,0.398086608,0.100449775,0.00104694,0.006040552,0.000107574,0.000472811,0.032903226,0.068780753,0.392200538,0.018865994,0.71448078,0.165461582,0.22455712,0.004675951,0.00268161,0.000223133,0.110966806,0.352525233,0.27672295,0.002929932,0.771819122,0.72916183,0.33159781,0.0,0.933175173,0.002286111,0.016933195,6740000000.0,5200000000.0,0.593882338,43200000.0,0.671572021,0.129504025,0.771819122,0.33159781,0.110933234,0.642541743,0.459202069,0.617015033,0.31449938,0.076005931,0,0.801513706,0.001684011,0.623180745,0.598437831,0.840517573,0.280422036,0.027331814,0.566863831,1,0.027094173
379,0,0.502266855,0.565470999,0.551421382,0.599669929,0.599244728,0.998993353,0.797427504,0.809343821,0.303539995,0.781604782,6600000000.0,3040000000.0,0.464309739,0.000541054,0.173803016,0.177110109,0.177110109,0.177110109,0.229932873,0.326412959,0.08634693,0.108378797,0.184755592,0.022102531,0.857520967,0.690058825,0.690058825,0.21769275,7210000000.0,0.000485537,0.264909745,0.393306881,0.009111984,0.0070076,0.63067184,0.010880092,0.160987998,0.839012002,0.007277256,0.369803817,0.005543166,0.108383409,0.183771963,0.414207494,0.331334333,0.000839987,0.007529769,0.000236739,0.001860984,0.089516129,0.10053611,0.402919427,0.00401897,0.824759914,0.650712622,0.797372934,0.069239698,0.007213789,0.002249374,0.16322103,0.349146403,0.27729615,0.005254635,0.967011152,0.738623541,0.335599491,0.0,0.934262107,0.002348936,0.027600265,9130000000.0,7770000000.0,0.593939168,2380000000.0,0.671572548,0.050796247,0.967011152,0.335599491,0.110933234,0.643874615,0.459424454,0.608756606,0.314759073,0.031968277,0,0.815175341,0.002930882,0.623863809,0.599671325,0.841988886,0.28266989,0.026806593,0.565230941,1,0.022349351
381,0,0.570467508,0.609627126,0.616414155,0.619257989,0.619257989,0.999284763,0.797855667,0.809673611,0.303678488,0.781963519,9550000000.0,0.0,0.477540407,0.000173017,0.182812026,0.202098521,0.202098521,0.202098521,0.240994611,0.3343708,0.014928082,0.117742855,0.198990736,0.022206357,0.848140316,0.689592981,0.689592981,0.217613919,9800000000.0,0.000691785,0.264496352,0.391444059,0.005339765,0.00230509,0.630699579,0.002121121,0.055567313,0.944432687,0.004993726,0.371314722,0.005365848,0.117722735,0.194532841,0.395877405,0.076461769,0.001347225,0.004693084,9150000000.0,4920000000.0,0.020483871,0.021661795,0.415323037,0.068451624,0.745412321,0.101162617,0.167064899,0.006936949,0.003204712,0.000624059,0.058636837,0.387392299,0.275066034,0.005867168,0.96310113,0.731653914,0.328087316,0.0,0.952856963,0.003114446,0.007565286,9660000000.0,6010000000.0,0.593906375,115000000.0,0.671575756,0.828472318,0.96310113,0.328087316,0.110933234,0.645617718,0.460451203,0.652655962,0.314876008,0.053539964,0,0.835147619,0.013178482,0.624472554,0.619256908,0.842284472,0.276317645,0.026799506,0.565197894,1,0.06938938
390,0,0.509335543,0.572666812,0.562931634,0.599446518,0.599446518,0.998953489,0.797681635,0.809591847,0.304067382,0.781877203,0.000109161,1970000000.0,0.467627891,0.000215022,0.0,0.203194134,0.203194134,0.203194134,0.234092843,0.321638254,0.014111348,0.094699129,0.18528282,0.022144852,0.848129999,0.689385839,0.689385839,0.217592495,7240000000.0,0.000465524,0.263917446,0.376820908,0.007305437,0.004358773,0.630904029,0.005362989,0.109290444,0.890709556,0.006514355,0.375222274,0.006033075,0.094712329,0.184284745,0.395614819,0.049475262,0.001791566,0.003528352,0.000108529,0.000173238,0.017258065,0.022031932,0.391409059,0.016039138,0.756830007,0.077826864,0.122326605,0.033963913,0.004634521,0.005544379,0.032099598,0.345891054,0.278003086,0.007249558,0.268239403,0.732329338,0.32752529,0.060461787,0.9394791,0.002637632,0.009250672,9930000000.0,6580000000.0,0.593928637,7790000000.0,0.671597224,0.138431538,0.268239403,0.32752529,0.122496218,0.656984077,0.462518389,0.583296182,0.31664722,0.039630121,0,0.818035828,0.121490648,0.623426965,0.599442255,0.841665211,0.278668321,0.026882081,0.565557594,1,0.034511221
392,0,0.51547799,0.576319232,0.565126613,0.599590654,0.599612275,0.998989655,0.797516457,0.809415169,0.303703383,0.781660501,7560000000.0,3970000000.0,0.464650277,0.00039704,0.158518069,0.20336269,0.20336269,0.20336269,0.233052851,0.322380986,0.043483522,0.101050403,0.191383596,0.022083647,0.848034581,0.68941126,0.689411635,0.21760025,7190000000.0,0.000466547,0.26395319,0.375135055,0.007614329,0.006666983,0.630902659,0.006447259,0.122320646,0.877679354,0.006028817,0.373025814,0.005365848,0.1010064,0.190106327,0.398351873,0.140929535,0.001115924,0.005664832,0.000423036,0.000432717,0.035,0.035865047,0.395400375,0.010580653,0.766759285,0.245284263,0.273827178,0.033585623,0.006658022,0.002627973,0.067487074,0.345783091,0.277301747,0.002825419,0.516407765,0.733059844,0.3292175,0.017586044,0.941667295,0.00253325,0.013537812,7160000000.0,6860000000.0,0.593927128,2690000000.0,0.671572584,0.160611287,0.516407765,0.3292175,0.118776927,0.643391974,0.459370289,0.58501778,0.314639837,0.038070402,0,0.819991895,0.012973973,0.623861036,0.599585893,0.84194042,0.279455084,0.0268687,0.565502861,1,0.030509743
395,0,0.513040511,0.562418229,0.561111409,0.612634947,0.612634947,0.999063836,0.797567643,0.809442641,0.303637399,0.781707098,0.000210343,0.000152977,0.462727829,0.00020002,0.233424436,0.193797143,0.193797143,0.193797143,0.226151083,0.318773431,0.018482387,0.104063187,0.182420728,0.022041626,0.847967915,0.689286121,0.689286121,0.217580211,7610000000.0,0.000464127,0.263590305,0.376504229,0.007722909,0.005197215,0.630820468,0.004208501,0.093116063,0.906883937,0.005079905,0.373170083,0.005365848,0.104076083,0.181449363,0.397637801,0.082458771,0.000844045,0.007493051,0.000123433,6730000000.0,0.021451613,0.008739333,0.394936795,0.017665233,0.764904612,0.164036629,0.229970917,0.023309003,0.00539544,0.002190934,0.056100033,0.342932904,0.277666419,0.006363661,0.559947324,0.732784027,0.328342782,0.015033388,0.950748555,0.002387967,0.018416451,0.000114435,8430000000.0,0.59393431,331000000.0,0.671563282,0.62166563,0.559947324,0.328342782,0.115784518,0.63470489,0.457061542,0.571555665,0.313444682,0.037552008,0,0.812986423,0.000999612,0.623684349,0.612634285,0.84119473,0.277831159,0.026815729,0.565272899,1,0.040964152
